sample_id,term,normalized_term,predicted_category,confidence,reason,table_count,total_occurrences,sources,columns,gold_category,is_correct,notes
15,Passenger cars in accompanied passenger car railway transport by type of transport,passenger cars in accompanied passenger car railway transport by type of transport,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
16,Passengers embarked and disembarked in the top 20 EU ports,passengers embarked and disembarked in the top 20 eu ports,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
17,Population with confidence in EU institutions by institution,population with confidence in eu institutions by institution,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,1,1,title,title,measure,yes,
18,Rail accidents by type of accident,rail accidents by type of accident,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
19,Researchers in the higher education sector by seniority category,researchers in the higher education sector by seniority category,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
20,Trade volume indices by reporting country,trade volume indices by reporting country,measure,medium,Appears only in residual statistical table titles.,1,1,title,title,measure,yes,
21,Economical indicator for structural business statistics,economical indicator for structural business statistics,dimension_name,medium,Appears as a table header and also in mixed cell contexts.,36,64,cell|header,Categorisation of active substances for harmonised risk indicator|Economical indicator for structural business statistics|Geopolitical entity (reporting)|Unit of measure,dimension_name,yes,
22,Size classes in number of persons employed,size classes in number of persons employed,dimension_name,medium,Appears as a table header and also in mixed cell contexts.,21,38,cell|header,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Size classes in number of persons employed|Unit of measure,dimension_name,yes,
23,Individual type,individual type,dimension_name,medium,Appears as a table header and also in mixed cell contexts.,20,26,cell|header,Categorisation of active substances for harmonised risk indicator|Geopolitical entity (reporting)|Individual type|Unit of measure,dimension_name,yes,
24,Interest rate,interest rate,dimension_name,high,Predominantly appears as a descriptive table header.,16,19,cell|header,Categorisation of active substances for harmonised risk indicator|Interest rate,dimension_name,yes,
25,nace_r1,nace_r1,dimension_name,high,Predominantly appears as a descriptive table header.,10,10,header,nace_r1,dimension_name,yes,
26,Eurofarm indicators,eurofarm indicators,dimension_name,medium,Appears as a table header and also in mixed cell contexts.,8,12,cell|header,Categorisation of active substances for harmonised risk indicator|Eurofarm indicators|Geopolitical entity (reporting)|Unit of measure,dimension_name,yes,
27,Standard international energy product classification (SIEC),standard international energy product classification (siec),dimension_name,medium,Appears as a table header and also in mixed cell contexts.,7,9,cell|header,Categorisation of active substances for harmonised risk indicator|Standard international energy product classification (SIEC)|Unit of measure,dimension_name,yes,
28,prod_ani,prod_ani,dimension_name,high,Predominantly appears as a descriptive table header.,7,7,header,prod_ani,dimension_name,yes,
29,Item of milk,item of milk,dimension_name,high,Predominantly appears as a descriptive table header.,6,6,header,Item of milk,dimension_name,yes,
30,Client specialisation,client specialisation,dimension_name,high,Predominantly appears as a descriptive table header.,4,6,cell|header,Client specialisation|Unit of measure,dimension_name,yes,
31,Nomenclature of land cover and land use (Corine Land Cover 2018),nomenclature of land cover and land use (corine land cover 2018),dimension_name,high,Predominantly appears as a descriptive table header.,4,6,cell|header,Nomenclature of land cover and land use (Corine Land Cover 2018)|Unit of measure,dimension_name,yes,
32,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),international standard classification of occupations for european union purposes (isco-88 (com)),dimension_name,medium,Appears as a table header and also in mixed cell contexts.,4,5,cell|header,Categorisation of active substances for harmonised risk indicator|International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM))|Unit of measure,dimension_name,yes,
33,n_person,n_person,dimension_name,medium,Appears as a table header and also in mixed cell contexts.,4,5,cell|header,Categorisation of active substances for harmonised risk indicator|Unit of measure|n_person,dimension_name,yes,
34,Ranking,ranking,dimension_name,medium,Appears as a table header and also in mixed cell contexts.,3,4,cell|header,Categorisation of active substances for harmonised risk indicator|Ranking|Unit of measure,dimension_name,yes,
35,n_injury,n_injury,dimension_name,high,Predominantly appears as a descriptive table header.,2,2,cell|header,Geopolitical entity (reporting)|n_injury,dimension_name,yes,
36,Other gainful activity of the holder,other gainful activity of the holder,dimension_name,high,Predominantly appears as a descriptive table header.,2,2,cell|header,Categorisation of active substances for harmonised risk indicator|Other gainful activity of the holder,dimension_name,yes,
37,Risk type,risk type,dimension_name,high,Predominantly appears as a descriptive table header.,2,2,cell|header,Categorisation of active substances for harmonised risk indicator|Risk type,dimension_name,yes,
38,tra_cov,tra_cov,dimension_name,high,Predominantly appears as a descriptive table header.,2,2,cell|header,Geopolitical entity (reporting)|tra_cov,dimension_name,yes,
39,Agricultural production methods,agricultural production methods,dimension_name,high,Predominantly appears as a descriptive table header.,1,1,header,Agricultural production methods,dimension_name,yes,
40,Type of mortality,type of mortality,dimension_name,high,Predominantly appears as a descriptive table header.,1,1,header,Type of mortality,dimension_name,yes,
41,CPA_J6512BB,cpa_j6512bb,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,6,39,cell,cpa02,dimension_value,yes,
42,Households with dependent children,households with dependent children,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,4,422,cell,Categorisation of active substances for harmonised risk indicator|Household composition|Type of household,dimension_value,yes,
43,Balatonszentgyorgy - Tapolca,balatonszentgyorgy - tapolca,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,4,10,cell,Rail network Segment (2015)|Rail network segment (2005)|Rail network segment (2010)|Unit of measure,dimension_value,yes,
44,Horní Lidec St.Hr. - Hranice Na Morave,horní lidec st.hr. - hranice na morave,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,3,8,cell,Categorisation of active substances for harmonised risk indicator|Rail network Segment (2015)|Rail network segment (2020)|Unit of measure,dimension_value,yes,
45,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),dimension_value,medium,Appears as a cell value without stronger evidence.,2,222,cell,Information society indicator|Unit of measure,measure,no,
46,Public transport,public transport,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,132,cell,Mode of transport|Unit of measure,dimension_value,yes,
47,Share of non-wage costs (%),share of non-wage costs (%),dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,80,cell,Geopolitical entity (reporting)|Labour costs structure,measure,no,
48,"Females, 16 to 74 years old","females, 16 to 74 years old",dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,74,cell,Categorisation of active substances for harmonised risk indicator|Individual type,dimension_value,yes,
49,Processing,processing,dimension_value,medium,Appears as a cell value without stronger evidence.,2,40,cell,Environment indicator|Unit of measure,dimension_value,yes,
50,Extraction,extraction,dimension_value,medium,Appears as a cell value without stronger evidence.,2,32,cell,Environment indicator|Unit of measure,dimension_value,yes,
51,Alayunt - Balikesir,alayunt - balikesir,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,6,cell,Rail network Segment (2015)|Unit of measure,dimension_value,yes,
52,Cropland,cropland,dimension_value,medium,Appears as a cell value without stronger evidence.,2,6,cell,Environment indicator|Unit of measure,dimension_value,yes,
53,Grassland,grassland,dimension_value,medium,Appears as a cell value without stronger evidence.,2,6,cell,Environment indicator|Unit of measure,dimension_value,yes,
54,Tatvan - Elazığ,tatvan - elazığ,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,6,cell,Categorisation of active substances for harmonised risk indicator|Rail network segment (2020),dimension_value,yes,
55,Gren-Å - Hornslet,gren-å - hornslet,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,4,cell,Rail network segment (2010)|Unit of measure,dimension_value,yes,
56,Liosia - Ska (Rail Center Of Acharnes),liosia - ska (rail center of acharnes),dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,4,cell,Categorisation of active substances for harmonised risk indicator|Rail network segment (2020),dimension_value,yes,
57,Terminal De Tadim(Terminal De Mercadorias Tadim (Inserção)->Terminal De Mercadorias De Tadim (Extremo)),terminal de tadim(terminal de mercadorias tadim (inserção)->terminal de mercadorias de tadim (extremo)),dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,2,4,cell,Rail network segment (2010)|Unit of measure,dimension_value,yes,
58,"Categories I to III (length: up to 80 m, beam: 9 m)","categories i to iii (length: up to 80 m, beam: 9 m)",dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,1,17,cell,Categories of navigable inland waterways by horizontal dimensions of vessels and pushed convoys,dimension_value,yes,
59,138 e,138 e,dimension_value,medium,Appears in mixed columns without a reliable unit or measure pattern.,1,2,cell,Geopolitical entity (reporting)|Unit of measure,other,no,
60,Georgetown,georgetown,dimension_value,high,Appears in descriptive columns and has no dominant unit or measure evidence.,1,1,cell,Geopolitical entity (reporting),other,no,
61,Hour,hour,unit,high,Predominantly appears exclusively in unit columns.,17,5138,cell,Unit of measure,unit,yes,
62,Rolling 4-quarter growth rate,rolling 4-quarter growth rate,unit,high,Predominantly appears exclusively in unit columns.,10,101,cell,Unit of measure,unit,yes,
63,Per million inhabitants,per million inhabitants,unit,high,Predominantly appears exclusively in unit columns.,8,1191,cell,Unit of measure,unit,yes,
64,Hectare,hectare,unit,high,Matches a unit pattern and appears exclusively in unit columns.,7,3334,cell,Geopolitical entity (reporting)|Unit of measure,unit,yes,
65,NR,nr,unit,high,Predominantly appears exclusively in unit columns.,6,1204,cell,Unit of measure|unit,unit,yes,
66,400 trees per hectare or over,400 trees per hectare or over,unit,medium,Matches a unit pattern but appears in a mixed context.,3,246,cell,Categorisation of active substances for harmonised risk indicator|Plantation density,dimension_value,no,
67,Purchasing power standard (PPS) per billion GDP,purchasing power standard (pps) per billion gdp,unit,high,Matches a unit pattern and appears exclusively in unit columns.,2,92,cell,Unit of measure,unit,yes,
68,Gigawatt-hour,gigawatt-hour,unit,high,Predominantly appears exclusively in unit columns.,2,76,cell,Unit of measure,unit,yes,
69,15 000 kg or over,15 000 kg or over,unit,medium,Matches a unit pattern but appears in a mixed context.,2,73,cell,Weight,dimension_value,no,
70,Percentage of total public expenditure,percentage of total public expenditure,unit,high,Matches a unit pattern and appears exclusively in unit columns.,2,10,cell,Unit of measure,unit,yes,
71,"Cadca - St. Hr. (Km 286, 5 )","cadca - st. hr. (km 286, 5 )",unit,high,Matches a unit pattern and appears exclusively in unit columns.,2,6,cell,Rail network segment (2005)|Unit of measure,dimension_value,no,
72,Megawatt,megawatt,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,71,cell,Unit of measure,unit,yes,
73,Percentage of turnover,percentage of turnover,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,35,cell,Unit of measure,unit,yes,
74,MEUR_KP00,meur_kp00,unit,high,Predominantly appears exclusively in unit columns.,1,32,cell,unit,unit,yes,
75,Micrograms per cubic metre,micrograms per cubic metre,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,31,cell,Unit of measure,unit,yes,
76,20 000 kg or over,20 000 kg or over,unit,medium,Matches a unit pattern but appears in a mixed context.,1,30,cell,Weight,dimension_value,no,
77,Seasonally and calendar adjusted trade value in million ECU/EURO,seasonally and calendar adjusted trade value in million ecu/euro,unit,medium,Matches a unit pattern but appears in a mixed context.,1,29,cell,External trade indicator,measure,no,
78,"Extreme poverty line, rural (national currency)","extreme poverty line, rural (national currency)",unit,medium,Matches a unit pattern but appears in a mixed context.,1,6,cell,Indicator used in Euro_Med,measure,no,
79,Design capacity BOD (1 000 kg O2/day),design capacity bod (1 000 kg o2/day),unit,medium,Matches a unit pattern but appears in a mixed context.,1,3,cell,Plant capacity,measure,no,
80,Belgian franc,belgian franc,unit,high,Predominantly appears exclusively in unit columns.,1,2,cell,Currency,unit,yes,
81,,,other,low,The term contains no usable alphanumeric content.,1,704,cell,aei_pestsal_rsk.csv,other,yes,
