term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Turnover in industry - manufacturing,turnover in industry - manufacturing,"Business, industry and trade",0.612818,Housing and construction,0.0,0.612818,high,rule_override_and_tfidf,industry|manufacturing|turnover,turnover,"Best profile: Business, industry and trade; score=0.6128; margin=0.6128; override_rules=turnover, industry, manufacturing; keywords=industry, manufacturing, turnover; strong_keywords=turnover",1,1,turnover|industry|manufacturing
Retail trade turnover - total,retail trade turnover - total,"Business, industry and trade",0.601139,Housing and construction,0.0,0.601139,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.6011; margin=0.6011; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - non food,retail trade turnover - non food,"Business, industry and trade",0.580464,"Agriculture, forestry and fisheries",0.028464,0.552001,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5805; margin=0.5520; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - automotive fuel,retail trade turnover - automotive fuel,"Business, industry and trade",0.571586,Energy,0.116336,0.45525,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5716; margin=0.4553; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - food beverages and tobacco,retail trade turnover - food beverages and tobacco,"Business, industry and trade",0.561401,"Agriculture, forestry and fisheries",0.023959,0.537442,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5614; margin=0.5374; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade volume of sales index deflated turnover,retail trade volume of sales index deflated turnover,"Business, industry and trade",0.556547,Economy and national accounts,0.023037,0.53351,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5565; margin=0.5335; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Domestic industrial production price index,domestic industrial production price index,"Business, industry and trade",0.53215,Economy and national accounts,0.241773,0.290377,high,tfidf_and_strong_keywords,industrial|production,industrial production,"Best profile: Business, industry and trade; score=0.5322; margin=0.2904; keywords=industrial, production; strong_keywords=industrial production",1,1,
Turnover in industry - capital goods,turnover in industry - capital goods,"Business, industry and trade",0.478042,Housing and construction,0.0,0.478042,high,rule_override_and_tfidf,industry|turnover,turnover,"Best profile: Business, industry and trade; score=0.4780; margin=0.4780; override_rules=turnover, industry; keywords=industry, turnover; strong_keywords=turnover",1,1,turnover|industry
Turnover in industry - intermediate goods,turnover in industry - intermediate goods,"Business, industry and trade",0.475948,Housing and construction,0.0,0.475948,high,rule_override_and_tfidf,industry|turnover,turnover,"Best profile: Business, industry and trade; score=0.4759; margin=0.4759; override_rules=turnover, industry; keywords=industry, turnover; strong_keywords=turnover",1,1,turnover|industry
General government total expenditure on law courts,general government total expenditure on law courts,"Crime, justice and safety",0.357818,Government and public finance,0.161913,0.195906,high,rule_override_and_tfidf,,law courts,"Best profile: Crime, justice and safety; score=0.3578; margin=0.1959; override_rules=law court; strong_keywords=law courts",1,1,law court
Population reporting occurrence of crime violence or vandalism in their area by poverty status,population reporting occurrence of crime violence or vandalism in their area by poverty status,"Crime, justice and safety",0.288649,Demography and population,0.103155,0.185494,high,rule_override_and_tfidf,crime|violence,,"Best profile: Crime, justice and safety; score=0.2886; margin=0.1855; override_rules=violence, crime; keywords=crime, violence",1,1,violence|crime
Persons brought before criminal courts by legal status of the court process,persons brought before criminal courts by legal status of the court process,"Crime, justice and safety",0.287372,Health,0.010431,0.276941,medium,tfidf_and_keywords,criminal|court,,"Best profile: Crime, justice and safety; score=0.2874; margin=0.2769; keywords=criminal, court",1,1,
Police-recorded offences by offence category,police-recorded offences by offence category,"Crime, justice and safety",0.275299,Housing and construction,0.0,0.275299,medium,tfidf_and_keywords,police|offence,,"Best profile: Crime, justice and safety; score=0.2753; margin=0.2753; keywords=police, offence",2,2,
Women who have experienced violence by a domestic perpetrator by type of violence,women who have experienced violence by a domestic perpetrator by type of violence,"Crime, justice and safety",0.25863,Economy and national accounts,0.036295,0.222335,high,rule_override_and_tfidf,violence|perpetrator,,"Best profile: Crime, justice and safety; score=0.2586; margin=0.2223; override_rules=violence, perpetrator; keywords=violence, perpetrator",1,1,violence|perpetrator
Women who have experienced violence by any perpetrator by type of violence,women who have experienced violence by any perpetrator by type of violence,"Crime, justice and safety",0.248151,Housing and construction,0.0,0.248151,high,rule_override_and_tfidf,violence|perpetrator,,"Best profile: Crime, justice and safety; score=0.2482; margin=0.2482; override_rules=violence, perpetrator; keywords=violence, perpetrator",1,1,violence|perpetrator
Crimes recorded by the police homicide in cities,crimes recorded by the police homicide in cities,"Crime, justice and safety",0.243246,Housing and construction,0.0,0.243246,high,rule_override_and_tfidf,police|homicide,,"Best profile: Crime, justice and safety; score=0.2432; margin=0.2432; override_rules=homicide; keywords=police, homicide",1,1,homicide
Women who have experienced violence by any perpetrator and consequences of violence,women who have experienced violence by any perpetrator and consequences of violence,"Crime, justice and safety",0.243117,Housing and construction,0.0,0.243117,high,rule_override_and_tfidf,violence|perpetrator,,"Best profile: Crime, justice and safety; score=0.2431; margin=0.2431; override_rules=violence, perpetrator; keywords=violence, perpetrator",1,1,violence|perpetrator
Women who have experienced violence by a domestic perpetrator by age group,women who have experienced violence by a domestic perpetrator by age group,"Crime, justice and safety",0.239739,Economy and national accounts,0.038585,0.201154,high,rule_override_and_tfidf,violence|perpetrator,,"Best profile: Crime, justice and safety; score=0.2397; margin=0.2012; override_rules=violence, perpetrator; keywords=violence, perpetrator",1,1,violence|perpetrator
Women who have experienced violence by any perpetrator by type and frequency of violence,women who have experienced violence by any perpetrator by type and frequency of violence,"Crime, justice and safety",0.239133,Housing and construction,0.0,0.239133,high,rule_override_and_tfidf,violence|perpetrator,,"Best profile: Crime, justice and safety; score=0.2391; margin=0.2391; override_rules=violence, perpetrator; keywords=violence, perpetrator",1,1,violence|perpetrator
Life expectancy at birth,life expectancy at birth,Demography and population,0.664302,"Income, poverty and living conditions",0.047717,0.616584,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.6643; margin=0.6166; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,21,life expectancy
Life expectancy at birth by sex,life expectancy at birth by sex,Demography and population,0.623116,"Income, poverty and living conditions",0.040805,0.582312,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.6231; margin=0.5823; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",3,3,life expectancy
Life expectancy in absolute value at birth,life expectancy in absolute value at birth,Demography and population,0.591202,"Income, poverty and living conditions",0.035448,0.555754,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5912; margin=0.5558; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",1,64,life expectancy
Healthy life years at birth in percentage of the total life expectancy,healthy life years at birth in percentage of the total life expectancy,Demography and population,0.574836,"Income, poverty and living conditions",0.048277,0.526559,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5748; margin=0.5266; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,66,life expectancy
Life expectancy in absolute value at birth - females,life expectancy in absolute value at birth - females,Demography and population,0.565837,"Income, poverty and living conditions",0.031191,0.534646,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5658; margin=0.5346; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,66,life expectancy
Life expectancy in absolute value at birth - males,life expectancy in absolute value at birth - males,Demography and population,0.565837,"Income, poverty and living conditions",0.031191,0.534646,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5658; margin=0.5346; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,66,life expectancy
Healthy life years at birth in percentage of the total life expectancy - females,healthy life years at birth in percentage of the total life expectancy - females,Demography and population,0.558706,"Income, poverty and living conditions",0.04428,0.514426,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5587; margin=0.5144; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,42,life expectancy
Healthy life years at birth in percentage of the total life expectancy - males,healthy life years at birth in percentage of the total life expectancy - males,Demography and population,0.558706,"Income, poverty and living conditions",0.04428,0.514426,high,rule_override_and_tfidf,birth|life expectancy,life expectancy,"Best profile: Demography and population; score=0.5587; margin=0.5144; override_rules=life expectancy; keywords=birth, life expectancy; strong_keywords=life expectancy",2,42,life expectancy
Life expectancy by age and sex,life expectancy by age and sex,Demography and population,0.514109,"Income, poverty and living conditions",0.044629,0.46948,high,rule_override_and_tfidf,life expectancy,life expectancy,Best profile: Demography and population; score=0.5141; margin=0.4695; override_rules=life expectancy; keywords=life expectancy; strong_keywords=life expectancy,1,1,life expectancy
Total fertility rate,total fertility rate,Demography and population,0.505733,Labour market,0.01805,0.487683,high,rule_override_and_tfidf,fertility,fertility rate,Best profile: Demography and population; score=0.5057; margin=0.4877; override_rules=fertility; keywords=fertility; strong_keywords=fertility rate,5,269,fertility
Gross domestic product GDP at current market prices by other typologies,gross domestic product gdp at current market prices by other typologies,Economy and national accounts,0.848394,Housing and construction,0.021665,0.826729,high,rule_override_and_tfidf,gdp|gross domestic product,gross domestic product|gdp,"Best profile: Economy and national accounts; score=0.8484; margin=0.8267; override_rules=GDP, gross domestic product; keywords=gdp, gross domestic product; strong_keywords=gross domestic product, gdp",1,1,GDP|gross domestic product
Gross domestic product GDP at current market prices by NUTS 3 regions,gross domestic product gdp at current market prices by nuts 3 regions,Economy and national accounts,0.842735,Housing and construction,0.021172,0.821563,high,rule_override_and_tfidf,gdp|gross domestic product,gross domestic product|gdp,"Best profile: Economy and national accounts; score=0.8427; margin=0.8216; override_rules=GDP, gross domestic product; keywords=gdp, gross domestic product; strong_keywords=gross domestic product, gdp",1,1,GDP|gross domestic product
Consumer price index,consumer price index,Economy and national accounts,0.709062,Housing and construction,0.036308,0.672753,high,tfidf_and_strong_keywords,price index|consumer price,consumer price index,"Best profile: Economy and national accounts; score=0.7091; margin=0.6728; keywords=price index, consumer price; strong_keywords=consumer price index",2,2,
Gross domestic product,gross domestic product,Economy and national accounts,0.656062,"Crime, justice and safety",0.030646,0.625416,high,rule_override_and_tfidf,gross domestic product,gross domestic product,Best profile: Economy and national accounts; score=0.6561; margin=0.6254; override_rules=gross domestic product; keywords=gross domestic product; strong_keywords=gross domestic product,4,164,gross domestic product
Gross domestic product at market prices by expenditure,gross domestic product at market prices by expenditure,Economy and national accounts,0.640417,Government and public finance,0.034,0.606418,high,rule_override_and_tfidf,gross domestic product|expenditure,gross domestic product,"Best profile: Economy and national accounts; score=0.6404; margin=0.6064; override_rules=gross domestic product; keywords=gross domestic product, expenditure; strong_keywords=gross domestic product",2,2,gross domestic product
Consumer price index (2015 = 100),consumer price index (2015 = 100),Economy and national accounts,0.60244,Housing and construction,0.024544,0.577896,high,tfidf_and_strong_keywords,price index|consumer price,consumer price index,"Best profile: Economy and national accounts; score=0.6024; margin=0.5779; keywords=price index, consumer price; strong_keywords=consumer price index",1,9,
Gross domestic product volumes,gross domestic product volumes,Economy and national accounts,0.579677,"Crime, justice and safety",0.024071,0.555605,high,rule_override_and_tfidf,gross domestic product,gross domestic product,Best profile: Economy and national accounts; score=0.5797; margin=0.5556; override_rules=gross domestic product; keywords=gross domestic product; strong_keywords=gross domestic product,1,1,gross domestic product
Gross domestic product current prices,gross domestic product current prices,Economy and national accounts,0.573371,Housing and construction,0.030002,0.543369,high,rule_override_and_tfidf,gross domestic product,gross domestic product,Best profile: Economy and national accounts; score=0.5734; margin=0.5434; override_rules=gross domestic product; keywords=gross domestic product; strong_keywords=gross domestic product,1,1,gross domestic product
Gross domestic product at market prices,gross domestic product at market prices,Economy and national accounts,0.56661,Housing and construction,0.02926,0.53735,high,rule_override_and_tfidf,gross domestic product,gross domestic product,Best profile: Economy and national accounts; score=0.5666; margin=0.5374; override_rules=gross domestic product; keywords=gross domestic product; strong_keywords=gross domestic product,9,462,gross domestic product
Purchasing power adjusted GDP per capita,purchasing power adjusted gdp per capita,Economy and national accounts,0.498138,Energy,0.050929,0.447209,high,rule_override_and_tfidf,gdp|purchasing power,gdp,"Best profile: Economy and national accounts; score=0.4981; margin=0.4472; override_rules=GDP; keywords=gdp, purchasing power; strong_keywords=gdp",1,1,GDP
"School completion rate at ISCED 1, total (%)","school completion rate at isced 1, total (%)",Education and training,0.696536,Demography and population,0.017196,0.679341,high,rule_override_and_tfidf,school|school completion|isced,school completion,"Best profile: Education and training; score=0.6965; margin=0.6793; override_rules=school, ISCED; keywords=school, school completion, isced; strong_keywords=school completion",1,8,school|ISCED
"School completion rate at ISCED 1, female (%)","school completion rate at isced 1, female (%)",Education and training,0.691686,Demography and population,0.016843,0.674844,high,rule_override_and_tfidf,school|school completion|isced,school completion,"Best profile: Education and training; score=0.6917; margin=0.6748; override_rules=school, ISCED; keywords=school, school completion, isced; strong_keywords=school completion",1,8,school|ISCED
"School completion rate at ISCED 1, male (%)","school completion rate at isced 1, male (%)",Education and training,0.691596,Demography and population,0.016836,0.674759,high,rule_override_and_tfidf,school|school completion|isced,school completion,"Best profile: Education and training; score=0.6916; margin=0.6748; override_rules=school, ISCED; keywords=school, school completion, isced; strong_keywords=school completion",1,8,school|ISCED
School completion rate at ISCED 1 level by sex,school completion rate at isced 1 level by sex,Education and training,0.680041,Demography and population,0.015996,0.664045,high,rule_override_and_tfidf,school|school completion|isced,school completion,"Best profile: Education and training; score=0.6800; margin=0.6640; override_rules=school, ISCED; keywords=school, school completion, isced; strong_keywords=school completion",1,1,school|ISCED
Participation rate in education and training last 4 weeks by sex age and educational attainment level,participation rate in education and training last 4 weeks by sex age and educational attainment level,Education and training,0.661207,Labour market,0.032611,0.628597,high,rule_override_and_tfidf,education|educational|training,educational attainment,"Best profile: Education and training; score=0.6612; margin=0.6286; override_rules=education, educational, training; keywords=education, educational, training; strong_keywords=educational attainment",1,1,education|educational|training
"Number of tertiary education (ISCED 5-6) graduates in mathematics, science and technology, total (number)","number of tertiary education (isced 5-6) graduates in mathematics, science and technology, total (number)",Education and training,0.584639,"Science, technology and digital society",0.297656,0.286983,high,rule_override_and_tfidf,education|tertiary education|isced,tertiary education,"Best profile: Education and training; score=0.5846; margin=0.2870; override_rules=education, ISCED; keywords=education, tertiary education, isced; strong_keywords=tertiary education",1,8,education|ISCED
"Number of tertiary education (ISCED 5-6) graduates in mathematics, science and technology, female (number)","number of tertiary education (isced 5-6) graduates in mathematics, science and technology, female (number)",Education and training,0.581904,"Science, technology and digital society",0.294635,0.287269,high,rule_override_and_tfidf,education|tertiary education|isced,tertiary education,"Best profile: Education and training; score=0.5819; margin=0.2873; override_rules=education, ISCED; keywords=education, tertiary education, isced; strong_keywords=tertiary education",1,6,education|ISCED
"Number of tertiary education (ISCED 5-6) graduates in mathematics, science and technology, male (number)","number of tertiary education (isced 5-6) graduates in mathematics, science and technology, male (number)",Education and training,0.581884,"Science, technology and digital society",0.294613,0.287271,high,rule_override_and_tfidf,education|tertiary education|isced,tertiary education,"Best profile: Education and training; score=0.5819; margin=0.2873; override_rules=education, ISCED; keywords=education, tertiary education, isced; strong_keywords=tertiary education",1,6,education|ISCED
"Ratio of students enrolled in tertiary education at ISCED 5-6, total (per 100 000 Inhab)","ratio of students enrolled in tertiary education at isced 5-6, total (per 100 000 inhab)",Education and training,0.581883,Housing and construction,0.0,0.581883,high,rule_override_and_tfidf,education|tertiary education|isced,tertiary education,"Best profile: Education and training; score=0.5819; margin=0.5819; override_rules=education, student, ISCED; keywords=education, tertiary education, isced; strong_keywords=tertiary education",1,7,education|student|ISCED
"Ratio of students enrolled in tertiary education at ISCED 5-6, female (per 100 000 Inhab)","ratio of students enrolled in tertiary education at isced 5-6, female (per 100 000 inhab)",Education and training,0.580817,Housing and construction,0.0,0.580817,high,rule_override_and_tfidf,education|tertiary education|isced,tertiary education,"Best profile: Education and training; score=0.5808; margin=0.5808; override_rules=education, student, ISCED; keywords=education, tertiary education, isced; strong_keywords=tertiary education",1,6,education|student|ISCED
Share of renewable energy in gross final energy consumption by sector,share of renewable energy in gross final energy consumption by sector,Energy,0.971786,Economy and national accounts,0.017954,0.953832,high,rule_override_and_tfidf,energy|renewable|energy consumption,energy consumption|renewable energy,"Best profile: Energy; score=0.9718; margin=0.9538; override_rules=renewable energy, energy consumption; keywords=energy, renewable, energy consumption; strong_keywords=energy consumption, renewable energy",1,1,renewable energy|energy consumption
Energy consumption,energy consumption,Energy,0.732233,Housing and construction,0.0,0.732233,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.7322; margin=0.7322; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",6,9,energy consumption
Primary energy production,primary energy production,Energy,0.641415,"Business, industry and trade",0.127045,0.51437,high,rule_override_and_tfidf,energy|energy production,energy production,"Best profile: Energy; score=0.6414; margin=0.5144; override_rules=energy production; keywords=energy, energy production; strong_keywords=energy production",1,1,energy production
Final energy consumption,final energy consumption,Energy,0.637878,Housing and construction,0.0,0.637878,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.6379; margin=0.6379; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",1,1,energy consumption
Primary energy consumption,primary energy consumption,Energy,0.625623,Housing and construction,0.0,0.625623,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.6256; margin=0.6256; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",1,1,energy consumption
Final energy consumption by sector,final energy consumption by sector,Energy,0.591012,Housing and construction,0.0,0.591012,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.5910; margin=0.5910; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",1,1,energy consumption
Secondary energy production transformation,secondary energy production transformation,Energy,0.582486,"Business, industry and trade",0.11644,0.466046,high,rule_override_and_tfidf,energy|energy production,energy production,"Best profile: Energy; score=0.5825; margin=0.4660; override_rules=energy production; keywords=energy, energy production; strong_keywords=energy production",1,1,energy production
Final energy consumption in households per capita,final energy consumption in households per capita,Energy,0.562309,Housing and construction,0.0,0.562309,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.5623; margin=0.5623; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",1,1,energy consumption
Disaggregated final energy consumption in services – calorific values,disaggregated final energy consumption in services – calorific values,Energy,0.512775,Health,0.014644,0.498131,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.5128; margin=0.4981; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",1,1,energy consumption
Final energy consumption by agriculture/forestry per hectare of utilised agricultural area,final energy consumption by agriculture/forestry per hectare of utilised agricultural area,Energy,0.498992,"Agriculture, forestry and fisheries",0.627154,-0.128162,high,rule_override_and_tfidf,energy|energy consumption,energy consumption,"Best profile: Energy; score=0.4990; margin=-0.1282; override_rules=energy consumption; keywords=energy, energy consumption; strong_keywords=energy consumption",1,1,energy consumption
Greenhouse gas emissions from agriculture,greenhouse gas emissions from agriculture,Environment and climate,0.535081,"Agriculture, forestry and fisheries",0.137462,0.397619,high,rule_override_and_tfidf,greenhouse gas,greenhouse gas,Best profile: Environment and climate; score=0.5351; margin=0.3976; override_rules=emission; keywords=greenhouse gas; strong_keywords=greenhouse gas,1,1,emission
Recycling rate of municipal waste,recycling rate of municipal waste,Environment and climate,0.527136,Demography and population,0.018381,0.508755,high,rule_override_and_tfidf,waste|recycling,recycling rate,"Best profile: Environment and climate; score=0.5271; margin=0.5088; override_rules=waste, recycling; keywords=waste, recycling; strong_keywords=recycling rate",2,2,waste|recycling
Recycling rate of all waste excluding major mineral waste,recycling rate of all waste excluding major mineral waste,Environment and climate,0.499264,Demography and population,0.012515,0.486749,high,rule_override_and_tfidf,waste|recycling,recycling rate,"Best profile: Environment and climate; score=0.4993; margin=0.4867; override_rules=waste, recycling; keywords=waste, recycling; strong_keywords=recycling rate",1,1,waste|recycling
Recycling rate of packaging waste by type of packaging,recycling rate of packaging waste by type of packaging,Environment and climate,0.486346,Demography and population,0.013285,0.473061,high,rule_override_and_tfidf,waste|recycling,recycling rate,"Best profile: Environment and climate; score=0.4863; margin=0.4731; override_rules=waste, recycling; keywords=waste, recycling; strong_keywords=recycling rate",1,1,waste|recycling
Recycling rate of waste of electrical and electronic equipment WEEE separately collected,recycling rate of waste of electrical and electronic equipment weee separately collected,Environment and climate,0.45994,Demography and population,0.009986,0.449953,high,rule_override_and_tfidf,waste|recycling,recycling rate,"Best profile: Environment and climate; score=0.4599; margin=0.4500; override_rules=waste, recycling; keywords=waste, recycling; strong_keywords=recycling rate",1,1,waste|recycling
Recycling rates for packaging waste,recycling rates for packaging waste,Environment and climate,0.252545,Housing and construction,0.0,0.252545,high,rule_override_and_tfidf,waste|recycling,,"Best profile: Environment and climate; score=0.2525; margin=0.2525; override_rules=waste, recycling; keywords=waste, recycling",1,1,waste|recycling
Bathing sites with excellent water quality by location,bathing sites with excellent water quality by location,Environment and climate,0.200091,"Income, poverty and living conditions",0.049522,0.150569,medium,tfidf_and_keywords,water quality,,Best profile: Environment and climate; score=0.2001; margin=0.1506; keywords=water quality,1,1,
Local pollution,local pollution,Environment and climate,0.197185,Housing and construction,0.0,0.197185,high,rule_override_and_tfidf,pollution,,Best profile: Environment and climate; score=0.1972; margin=0.1972; override_rules=pollution; keywords=pollution,1,1,pollution
Business climate indicator,business climate indicator,Environment and climate,0.177046,"Business, industry and trade",0.17109,0.005956,high,rule_override_and_tfidf,climate,,Best profile: Environment and climate; score=0.1770; margin=0.0060; override_rules=climate; keywords=climate,1,1,climate
Air emission intensity from industry,air emission intensity from industry,Environment and climate,0.160809,"Business, industry and trade",0.119767,0.041042,high,rule_override_and_tfidf,emission,,Best profile: Environment and climate; score=0.1608; margin=0.0410; override_rules=emission; keywords=emission,1,1,emission
"Total annual public expenditure in regular education (current and capital) as a percentage of total Government Expenditure (ISCED levels 0-1, 2, 3-4, 5-6) (%)","total annual public expenditure in regular education (current and capital) as a percentage of total government expenditure (isced levels 0-1, 2, 3-4, 5-6) (%)",Government and public finance,0.63063,Education and training,0.189387,0.441242,high,rule_override_and_tfidf,government|public expenditure|government expenditure,government expenditure,"Best profile: Government and public finance; score=0.6306; margin=0.4412; override_rules=government, public expenditure; keywords=government, public expenditure, government expenditure; strong_keywords=government expenditure",1,4,government|public expenditure
Government deficit/surplus and debt,government deficit/surplus and debt,Government and public finance,0.596275,Housing and construction,0.0,0.596275,high,rule_override_and_tfidf,government|deficit,government deficit,"Best profile: Government and public finance; score=0.5963; margin=0.5963; override_rules=government, deficit, surplus; keywords=government, deficit; strong_keywords=government deficit",2,2,government|deficit|surplus
Total general government expenditure,total general government expenditure,Government and public finance,0.588935,Economy and national accounts,0.112097,0.476838,high,rule_override_and_tfidf,government|government expenditure,government expenditure,"Best profile: Government and public finance; score=0.5889; margin=0.4768; override_rules=government; keywords=government, government expenditure; strong_keywords=government expenditure",4,267,government
General government expenditure by function,general government expenditure by function,Government and public finance,0.570391,Economy and national accounts,0.109248,0.461143,high,rule_override_and_tfidf,government|government expenditure,government expenditure,"Best profile: Government and public finance; score=0.5704; margin=0.4611; override_rules=government; keywords=government, government expenditure; strong_keywords=government expenditure",1,1,government
General government deficit/surplus,general government deficit/surplus,Government and public finance,0.560048,Housing and construction,0.0,0.560048,high,rule_override_and_tfidf,government|deficit,government deficit,"Best profile: Government and public finance; score=0.5600; margin=0.5600; override_rules=government, deficit, surplus; keywords=government, deficit; strong_keywords=government deficit",1,1,government|deficit|surplus
