term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Share of organic crop area out of the total utilised agricultural area UAA until,share of organic crop area out of the total utilised agricultural area uaa until,"Agriculture, forestry and fisheries",0.232188,"Business, industry and trade",0.009143,0.223044,high,rule_override_and_tfidf,agricultural|crop,,"Best profile: Agriculture, forestry and fisheries; score=0.2322; margin=0.2230; override_rules=agriculture, crop; keywords=agricultural, crop",1,1,agriculture|crop
Production of milk on farms,production of milk on farms,"Agriculture, forestry and fisheries",0.222071,"Business, industry and trade",0.122063,0.100008,high,rule_override_and_tfidf,milk,,"Best profile: Agriculture, forestry and fisheries; score=0.2221; margin=0.1000; override_rules=farm; keywords=milk",1,1,farm
Agricultural holdings by economic size of the farm Standard Output in Euro,agricultural holdings by economic size of the farm standard output in euro,"Agriculture, forestry and fisheries",0.21945,Economy and national accounts,0.031507,0.187943,high,rule_override_and_tfidf,agricultural|farm,,"Best profile: Agriculture, forestry and fisheries; score=0.2195; margin=0.1879; override_rules=agriculture, farm; keywords=agricultural, farm",1,1,agriculture|farm
Land use footprints,land use footprints,"Agriculture, forestry and fisheries",0.190838,"Science, technology and digital society",0.040602,0.150236,medium,tfidf_and_keywords,land use,,"Best profile: Agriculture, forestry and fisheries; score=0.1908; margin=0.1502; keywords=land use",1,1,
Agricultural holdings by crops,agricultural holdings by crops,"Agriculture, forestry and fisheries",0.18626,Housing and construction,0.0,0.18626,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1863; margin=0.1863; override_rules=agriculture, crop; keywords=agricultural",1,1,agriculture|crop
Agricultural holdings by agricultural area,agricultural holdings by agricultural area,"Agriculture, forestry and fisheries",0.168514,Housing and construction,0.0,0.168514,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1685; margin=0.1685; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Production of milk powder,production of milk powder,"Agriculture, forestry and fisheries",0.167336,"Business, industry and trade",0.121531,0.045805,low,tfidf_and_keywords,milk,,"Best profile: Agriculture, forestry and fisheries; score=0.1673; margin=0.0458; keywords=milk",1,1,
Organic production of animal products until,organic production of animal products until,"Agriculture, forestry and fisheries",0.160835,"Business, industry and trade",0.116009,0.044826,low,tfidf_and_keywords,animal,,"Best profile: Agriculture, forestry and fisheries; score=0.1608; margin=0.0448; keywords=animal",1,1,
Forest and irrigated land,forest and irrigated land,"Agriculture, forestry and fisheries",0.160269,Housing and construction,0.0,0.160269,medium,tfidf_and_keywords,forest,,"Best profile: Agriculture, forestry and fisheries; score=0.1603; margin=0.1603; keywords=forest",1,1,
Total irrigated agricultural land (ha),total irrigated agricultural land (ha),"Agriculture, forestry and fisheries",0.152209,Housing and construction,0.0,0.152209,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1522; margin=0.1522; override_rules=agriculture; keywords=agricultural",1,6,agriculture
Estimated trends in fishing pressure by fishing area,estimated trends in fishing pressure by fishing area,"Agriculture, forestry and fisheries",0.150621,Demography and population,0.032578,0.118043,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1506; margin=0.1180; keywords=fishing",1,1,
Indicator A of the income from agricultural activity,indicator a of the income from agricultural activity,"Agriculture, forestry and fisheries",0.149134,Economy and national accounts,0.119663,0.029471,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1491; margin=0.0295; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Agricultural land prices by region - historical data until,agricultural land prices by region - historical data until,"Agriculture, forestry and fisheries",0.148819,Housing and construction,0.023777,0.125042,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1488; margin=0.1250; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Catches in all fishing regions,catches in all fishing regions,"Agriculture, forestry and fisheries",0.14762,Housing and construction,0.0,0.14762,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1476; margin=0.1476; keywords=fishing",1,1,
Oats and spring cereal mixtures by area production and humidity,oats and spring cereal mixtures by area production and humidity,"Agriculture, forestry and fisheries",0.140046,"Business, industry and trade",0.10593,0.034116,low,tfidf_and_keywords,cereal,,"Best profile: Agriculture, forestry and fisheries; score=0.1400; margin=0.0341; keywords=cereal",1,1,
Rye and winter cereal mixtures by area production and humidity,rye and winter cereal mixtures by area production and humidity,"Agriculture, forestry and fisheries",0.139754,"Business, industry and trade",0.105804,0.03395,low,tfidf_and_keywords,cereal,,"Best profile: Agriculture, forestry and fisheries; score=0.1398; margin=0.0339; keywords=cereal",1,1,
Fishing Fleet Number of Vessels,fishing fleet number of vessels,"Agriculture, forestry and fisheries",0.138456,Housing and construction,0.0,0.138456,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1385; margin=0.1385; keywords=fishing",1,1,
Agricultural land renting prices for one year by region - historical data until,agricultural land renting prices for one year by region - historical data until,"Agriculture, forestry and fisheries",0.136666,Housing and construction,0.019578,0.117088,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1367; margin=0.1171; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Fish catches by fishing areas,fish catches by fishing areas,"Agriculture, forestry and fisheries",0.136644,Housing and construction,0.0,0.136644,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1366; margin=0.1366; keywords=fishing",1,1,
Crop output - basic and producer prices,crop output - basic and producer prices,"Agriculture, forestry and fisheries",0.136475,Housing and construction,0.02594,0.110535,high,rule_override_and_tfidf,crop,,"Best profile: Agriculture, forestry and fisheries; score=0.1365; margin=0.1105; override_rules=crop; keywords=crop",1,1,crop
Economic accounts for agriculture EAA,economic accounts for agriculture eaa,"Agriculture, forestry and fisheries",0.135627,Economy and national accounts,0.120978,0.01465,high,rule_override_and_tfidf,agriculture,,"Best profile: Agriculture, forestry and fisheries; score=0.1356; margin=0.0146; override_rules=agriculture; keywords=agriculture",1,1,agriculture
Fishing fleet total tonnage,fishing fleet total tonnage,"Agriculture, forestry and fisheries",0.135455,Housing and construction,0.0,0.135455,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1355; margin=0.1355; keywords=fishing",1,1,
Producer price indices crop products,producer price indices crop products,"Agriculture, forestry and fisheries",0.135075,Economy and national accounts,0.044959,0.090116,high,rule_override_and_tfidf,crop,,"Best profile: Agriculture, forestry and fisheries; score=0.1351; margin=0.0901; override_rules=crop; keywords=crop",1,1,crop
Selling prices of main crop potatoes,selling prices of main crop potatoes,"Agriculture, forestry and fisheries",0.134802,Housing and construction,0.025172,0.10963,high,rule_override_and_tfidf,crop,,"Best profile: Agriculture, forestry and fisheries; score=0.1348; margin=0.1096; override_rules=crop; keywords=crop",1,1,crop
"Value added of agriculture, as a share of total VA (%)","value added of agriculture, as a share of total va (%)","Agriculture, forestry and fisheries",0.133098,Economy and national accounts,0.127247,0.005851,high,rule_override_and_tfidf,agriculture,,"Best profile: Agriculture, forestry and fisheries; score=0.1331; margin=0.0059; override_rules=agriculture; keywords=agriculture",1,9,agriculture
Agricultural holdings by age of holder,agricultural holdings by age of holder,"Agriculture, forestry and fisheries",0.132142,Housing and construction,0.0,0.132142,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1321; margin=0.1321; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Agricultural holdings by age of manager,agricultural holdings by age of manager,"Agriculture, forestry and fisheries",0.132142,Housing and construction,0.0,0.132142,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1321; margin=0.1321; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Share of forest area,share of forest area,"Agriculture, forestry and fisheries",0.132,"Business, industry and trade",0.017401,0.114599,medium,tfidf_and_keywords,forest,,"Best profile: Agriculture, forestry and fisheries; score=0.1320; margin=0.1146; keywords=forest",1,1,
Output of the agricultural industry - basic and producer prices,output of the agricultural industry - basic and producer prices,"Agriculture, forestry and fisheries",0.123032,"Business, industry and trade",0.114255,0.008777,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1230; margin=0.0088; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Weights of producer prices of agricultural products - survey,weights of producer prices of agricultural products - survey,"Agriculture, forestry and fisheries",0.122985,Housing and construction,0.023812,0.099173,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1230; margin=0.0992; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Total utilised agricultural area (UAA) (ha),total utilised agricultural area (uaa) (ha),"Agriculture, forestry and fisheries",0.121484,Housing and construction,0.0,0.121484,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1215; margin=0.1215; override_rules=agriculture; keywords=agricultural",1,7,agriculture
Gross value added of the agricultural industry - basic and producer prices,gross value added of the agricultural industry - basic and producer prices,"Agriculture, forestry and fisheries",0.120275,Economy and national accounts,0.152704,-0.032429,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1203; margin=-0.0324; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Collection of cow's milk,collection of cow's milk,"Agriculture, forestry and fisheries",0.119823,Housing and construction,0.0,0.119823,medium,tfidf_and_keywords,milk,,"Best profile: Agriculture, forestry and fisheries; score=0.1198; margin=0.1198; keywords=milk",1,1,
"Proportion of households with access to secure tenure, rural (%)","proportion of households with access to secure tenure, rural (%)","Agriculture, forestry and fisheries",0.1196,Housing and construction,0.0,0.1196,medium,tfidf_and_keywords,rural,,"Best profile: Agriculture, forestry and fisheries; score=0.1196; margin=0.1196; keywords=rural",1,4,
Estimated trends in fish stock biomass by fishing areas,estimated trends in fish stock biomass by fishing areas,"Agriculture, forestry and fisheries",0.11935,Demography and population,0.030735,0.088615,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1194; margin=0.0886; keywords=fishing",1,1,
Annual captures of fish - live weight in tonnes - by fishing areas,annual captures of fish - live weight in tonnes - by fishing areas,"Agriculture, forestry and fisheries",0.118102,Housing and construction,0.0,0.118102,medium,tfidf_and_keywords,fishing,,"Best profile: Agriculture, forestry and fisheries; score=0.1181; margin=0.1181; keywords=fishing",1,1,
Price indices of agricultural input/output at nominal value,price indices of agricultural input/output at nominal value,"Agriculture, forestry and fisheries",0.117063,Economy and national accounts,0.047789,0.069274,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1171; margin=0.0693; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Animal output - basic and producer prices,animal output - basic and producer prices,"Agriculture, forestry and fisheries",0.11654,Housing and construction,0.025789,0.090751,medium,tfidf_and_keywords,animal,,"Best profile: Agriculture, forestry and fisheries; score=0.1165; margin=0.0908; keywords=animal",1,1,
Agricultural real factor income per annual work unit AWU,agricultural real factor income per annual work unit awu,"Agriculture, forestry and fisheries",0.114501,Economy and national accounts,0.09628,0.018221,high,rule_override_and_tfidf,agricultural,,"Best profile: Agriculture, forestry and fisheries; score=0.1145; margin=0.0182; override_rules=agriculture; keywords=agricultural",1,1,agriculture
Producer price indices animals and animal products,producer price indices animals and animal products,"Agriculture, forestry and fisheries",0.111566,Economy and national accounts,0.039593,0.071972,medium,tfidf_and_keywords,animal,,"Best profile: Agriculture, forestry and fisheries; score=0.1116; margin=0.0720; keywords=animal",1,1,
Selling prices of raw cow's milk,selling prices of raw cow's milk,"Agriculture, forestry and fisheries",0.11135,Housing and construction,0.025373,0.085978,medium,tfidf_and_keywords,milk,,"Best profile: Agriculture, forestry and fisheries; score=0.1114; margin=0.0860; keywords=milk",1,1,
Fat contents and protein contents cow's milk - annual data,fat contents and protein contents cow's milk - annual data,"Agriculture, forestry and fisheries",0.102101,Housing and construction,0.0,0.102101,medium,tfidf_and_keywords,milk,,"Best profile: Agriculture, forestry and fisheries; score=0.1021; margin=0.1021; keywords=milk",1,1,
Dry pulses and protein crops for the production of grain including seed and mixtures of cereals and pulses by area production and humidity,dry pulses and protein crops for the production of grain including seed and mixtures of cereals and pulses by area production and humidity,"Agriculture, forestry and fisheries",0.050511,"Business, industry and trade",0.10874,-0.058229,high,rule_override_and_tfidf,,,"Best profile: Agriculture, forestry and fisheries; score=0.0505; margin=-0.0582; override_rules=crop",1,1,crop
Root crops and plants harvested green from arable land by area,root crops and plants harvested green from arable land by area,"Agriculture, forestry and fisheries",0.042932,Housing and construction,0.0,0.042932,high,rule_override_and_tfidf,,,"Best profile: Agriculture, forestry and fisheries; score=0.0429; margin=0.0429; override_rules=crop, harvest",1,1,crop|harvest
Permanent crops for human consumption by area,permanent crops for human consumption by area,"Agriculture, forestry and fisheries",0.032654,Energy,0.034695,-0.00204,high,rule_override_and_tfidf,,,"Best profile: Agriculture, forestry and fisheries; score=0.0327; margin=-0.0020; override_rules=crop",1,1,crop
Goods and services imports and exports,goods and services imports and exports,"Business, industry and trade",0.624646,Health,0.022874,0.601772,high,rule_override_and_tfidf,,imports|exports,"Best profile: Business, industry and trade; score=0.6246; margin=0.6018; override_rules=imports, exports; strong_keywords=imports, exports",1,1,imports|exports
Turnover in industry - manufacturing,turnover in industry - manufacturing,"Business, industry and trade",0.612818,Housing and construction,0.0,0.612818,high,rule_override_and_tfidf,industry|manufacturing|turnover,turnover,"Best profile: Business, industry and trade; score=0.6128; margin=0.6128; override_rules=turnover, industry, manufacturing; keywords=industry, manufacturing, turnover; strong_keywords=turnover",1,1,turnover|industry|manufacturing
Retail trade turnover - total,retail trade turnover - total,"Business, industry and trade",0.601139,Housing and construction,0.0,0.601139,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.6011; margin=0.6011; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - non food,retail trade turnover - non food,"Business, industry and trade",0.580464,"Agriculture, forestry and fisheries",0.028464,0.552001,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5805; margin=0.5520; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - automotive fuel,retail trade turnover - automotive fuel,"Business, industry and trade",0.571586,Energy,0.116336,0.45525,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5716; margin=0.4553; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade turnover - food beverages and tobacco,retail trade turnover - food beverages and tobacco,"Business, industry and trade",0.561401,"Agriculture, forestry and fisheries",0.023959,0.537442,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5614; margin=0.5374; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Retail trade volume of sales index deflated turnover,retail trade volume of sales index deflated turnover,"Business, industry and trade",0.556547,Economy and national accounts,0.023037,0.53351,high,rule_override_and_tfidf,turnover|trade|retail,turnover,"Best profile: Business, industry and trade; score=0.5565; margin=0.5335; override_rules=turnover; keywords=turnover, trade, retail; strong_keywords=turnover",1,1,turnover
Domestic industrial production price index,domestic industrial production price index,"Business, industry and trade",0.53215,Economy and national accounts,0.241773,0.290377,high,tfidf_and_strong_keywords,industrial|production,industrial production,"Best profile: Business, industry and trade; score=0.5322; margin=0.2904; keywords=industrial, production; strong_keywords=industrial production",1,1,
Turnover in industry - capital goods,turnover in industry - capital goods,"Business, industry and trade",0.478042,Housing and construction,0.0,0.478042,high,rule_override_and_tfidf,industry|turnover,turnover,"Best profile: Business, industry and trade; score=0.4780; margin=0.4780; override_rules=turnover, industry; keywords=industry, turnover; strong_keywords=turnover",1,1,turnover|industry
Turnover in industry - intermediate goods,turnover in industry - intermediate goods,"Business, industry and trade",0.475948,Housing and construction,0.0,0.475948,high,rule_override_and_tfidf,industry|turnover,turnover,"Best profile: Business, industry and trade; score=0.4759; margin=0.4759; override_rules=turnover, industry; keywords=industry, turnover; strong_keywords=turnover",1,1,turnover|industry
Turnover in industry - consumer durables,turnover in industry - consumer durables,"Business, industry and trade",0.473917,Economy and national accounts,0.051411,0.422506,high,rule_override_and_tfidf,industry|turnover,turnover,"Best profile: Business, industry and trade; score=0.4739; margin=0.4225; override_rules=turnover, industry; keywords=industry, turnover; strong_keywords=turnover",1,1,turnover|industry
Turnover in industry - consumer non-durables,turnover in industry - consumer non-durables,"Business, industry and trade",0.464223,Economy and national accounts,0.046104,0.418119,high,rule_override_and_tfidf,industry|turnover,turnover,"Best profile: Business, industry and trade; score=0.4642; margin=0.4181; override_rules=turnover, industry; keywords=industry, turnover; strong_keywords=turnover",1,1,turnover|industry
International trade by reporting country total product,international trade by reporting country total product,"Business, industry and trade",0.446127,Economy and national accounts,0.042934,0.403193,high,tfidf_and_strong_keywords,trade,international trade,"Best profile: Business, industry and trade; score=0.4461; margin=0.4032; keywords=trade; strong_keywords=international trade",1,1,
International trade in services - market integration indicators - historical data,international trade in services - market integration indicators - historical data,"Business, industry and trade",0.435397,Environment and climate,0.020105,0.415292,high,rule_override_and_tfidf,trade,international trade,"Best profile: Business, industry and trade; score=0.4354; margin=0.4153; override_rules=market integration; keywords=trade; strong_keywords=international trade",1,1,market integration
International trade of EFTA and enlargement countries by reporting country total product,international trade of efta and enlargement countries by reporting country total product,"Business, industry and trade",0.40889,Economy and national accounts,0.031994,0.376896,high,tfidf_and_strong_keywords,trade,international trade,"Best profile: Business, industry and trade; score=0.4089; margin=0.3769; keywords=trade; strong_keywords=international trade",1,1,
Production in industry - manufacturing,production in industry - manufacturing,"Business, industry and trade",0.383153,"Agriculture, forestry and fisheries",0.053652,0.329502,high,rule_override_and_tfidf,industry|manufacturing|production,,"Best profile: Business, industry and trade; score=0.3832; margin=0.3295; override_rules=industry, manufacturing; keywords=industry, manufacturing, production",1,1,industry|manufacturing
Share of enterprises' turnover on e-commerce - %,share of enterprises' turnover on e-commerce - %,"Business, industry and trade",0.37972,Housing and construction,0.0,0.37972,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3797; margin=0.3797; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Net turnover,net turnover,"Business, industry and trade",0.376772,Housing and construction,0.0,0.376772,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3768; margin=0.3768; override_rules=turnover; keywords=turnover; strong_keywords=turnover",9,1019,turnover
Enterprises with e-commerce sales of at least 1% turnover,enterprises with e-commerce sales of at least 1% turnover,"Business, industry and trade",0.362812,Housing and construction,0.0,0.362812,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3628; margin=0.3628; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,36,turnover
Enterprises' total turnover from e-commerce sales,enterprises' total turnover from e-commerce sales,"Business, industry and trade",0.356981,Housing and construction,0.0,0.356981,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3570; margin=0.3570; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,35,turnover
Turnover by residence of client and economic activity,turnover by residence of client and economic activity,"Business, industry and trade",0.356398,Economy and national accounts,0.164658,0.191741,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3564; margin=0.1917; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Terms of trade (export/import),terms of trade (export/import),"Business, industry and trade",0.348641,Housing and construction,0.0,0.348641,high,rule_override_and_tfidf,import|export|trade,,"Best profile: Business, industry and trade; score=0.3486; margin=0.3486; override_rules=imports, exports; keywords=import, export, trade",1,28,imports|exports
Enterprises by impact of COVID-19 on turnover and NACE rev.2 activity aggregate - experimental statistics,enterprises by impact of covid-19 on turnover and nace rev.2 activity aggregate - experimental statistics,"Business, industry and trade",0.34776,Housing and construction,0.016132,0.331628,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3478; margin=0.3316; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Services turnover index calendar adjusted,services turnover index calendar adjusted,"Business, industry and trade",0.341298,Economy and national accounts,0.026272,0.315026,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3413; margin=0.3150; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover by type of media for advertising services,turnover by type of media for advertising services,"Business, industry and trade",0.340914,Health,0.01782,0.323094,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3409; margin=0.3231; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover by client specialisation and product specialisation,turnover by client specialisation and product specialisation,"Business, industry and trade",0.339479,Economy and national accounts,0.041309,0.298169,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3395; margin=0.2982; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover by product specialisation for div. 72,turnover by product specialisation for div. 72,"Business, industry and trade",0.339195,Economy and national accounts,0.041013,0.298182,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3392; margin=0.2982; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover by type of client and NACE Rev.1 at 3-digit level,turnover by type of client and nace rev.1 at 3-digit level,"Business, industry and trade",0.338628,Housing and construction,0.0,0.338628,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3386; margin=0.3386; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover by client specialisation and NACE Rev.1 at 3-digit level,turnover by client specialisation and nace rev.1 at 3-digit level,"Business, industry and trade",0.337317,Housing and construction,0.0,0.337317,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3373; margin=0.3373; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover or gross premiums written - million euro,turnover or gross premiums written - million euro,"Business, industry and trade",0.336918,Economy and national accounts,0.019724,0.317194,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3369; margin=0.3172; override_rules=turnover; keywords=turnover; strong_keywords=turnover",12,2716,turnover
Turnover by nationality of client and NACE Rev.1 at 3-digit level,turnover by nationality of client and nace rev.1 at 3-digit level,"Business, industry and trade",0.336881,Housing and construction,0.0,0.336881,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3369; margin=0.3369; override_rules=turnover; keywords=turnover; strong_keywords=turnover",1,1,turnover
Turnover of non-autonomous pension funds - million euro,turnover of non-autonomous pension funds - million euro,"Business, industry and trade",0.335893,Housing and construction,0.0,0.335893,high,rule_override_and_tfidf,turnover,turnover,"Best profile: Business, industry and trade; score=0.3359; margin=0.3359; override_rules=turnover; keywords=turnover; strong_keywords=turnover",2,206,turnover
Share of imports from EU in total imports (%),share of imports from eu in total imports (%),"Business, industry and trade",0.30476,Housing and construction,0.0,0.30476,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.3048; margin=0.3048; override_rules=imports; strong_keywords=imports",1,28,imports
Share of exports to EU in total exports (%),share of exports to eu in total exports (%),"Business, industry and trade",0.300235,Housing and construction,0.0,0.300235,high,rule_override_and_tfidf,,exports,"Best profile: Business, industry and trade; score=0.3002; margin=0.3002; override_rules=exports; strong_keywords=exports",1,28,exports
Share of national imports in world imports (%),share of national imports in world imports (%),"Business, industry and trade",0.298691,Economy and national accounts,0.039201,0.259489,high,rule_override_and_tfidf,,imports,"Best profile: Business, industry and trade; score=0.2987; margin=0.2595; override_rules=imports; strong_keywords=imports",1,10,imports
